"日期","交易類別","數量","說明","代號","賬戶類別","價格","金額"
"5/1/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,078.60","-2,157.20"
"5/1/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,085.0001","2,169.95"
"5/1/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,100.83","-2,201.66"
"5/1/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,135.41","2,270.77"
"5/1/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,085.14","2,170.23"
"5/1/2026","買進","2","ALPHABET INC CLASS C CAPITAL STOCK UNSOLICITED S/D: 05/04/2026","GOOG","融資","379.19","-758.38"
"5/1/2026","賣出","-3","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,130.00","3,389.93"
"5/1/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,085.74","-2,171.48"
"5/1/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,125.04","2,250.03"
"5/1/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,105.85","2,211.65"
"5/1/2026","賣出","-2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/04/2026","LITE","融資","920.78","1,841.52"
"5/1/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,095.41","-2,190.82"
"5/1/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,115.13","2,230.21"
"5/1/2026","賣出","-3","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,140.00","3,419.92"
"5/1/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,115.98","-2,231.96"
"5/1/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,120.41","2,240.77"
"5/1/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/04/2026","SNDK","融資","1,107.76","2,215.47"
"4/30/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/01/2026","SNDK","融資","1,097.00","-2,194.00"
"4/30/2026","其他","1","ALPHABET INC CLASS C CAPITAL STOCK TFR FROM TYPE 1","GOOG","融資","0.00","0.00"
"4/30/2026","其他","-2","AMAZON.COM INC TFR TO TYPE 2","AMZN","現金","0.00","0.00"
"4/30/2026","其他","0","TFR TO TYPE 2","","現金","0.00","-8,869.74"
"4/30/2026","買進","2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/01/2026","LITE","融資","880.00","-1,760.00"
"4/30/2026","其他","3","UNITED STS COMMODITY INDEX FDS COM UNIT REPSTG U S COPPER INX FD TFR FROM TYPE 1","CPER","融資","0.00","0.00"
"4/30/2026","其他","-1","ALPHABET INC CLASS C CAPITAL STOCK TFR TO TYPE 2","GOOG","現金","0.00","0.00"
"4/30/2026","其他","0","TFR FROM TYPE 1","","融資","0.00","8,869.74"
"4/30/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/01/2026","LITE","融資","870.39","-870.39"
"4/30/2026","其他","3","ISHARES SILVER SHARES TFR FROM TYPE 1","SLV","融資","0.00","0.00"
"4/30/2026","其他","-5","SANDISK CORPORATION COMMON STOCK TFR TO TYPE 2","SNDK","現金","0.00","0.00"
"4/30/2026","其他","-1","VANGUARD S&P 500 ETF TFR TO TYPE 2","VOO","現金","0.00","0.00"
"4/30/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/01/2026","SNDK","融資","1,085.99","-1,085.99"
"4/30/2026","其他","2","AMAZON.COM INC TFR FROM TYPE 1","AMZN","融資","0.00","0.00"
"4/30/2026","其他","-2","MICROSOFT CORP TFR TO TYPE 2","MSFT","現金","0.00","0.00"
"4/30/2026","其他","-3","UNITED STS COMMODITY INDEX FDS COM UNIT REPSTG U S COPPER INX FD TFR TO TYPE 2","CPER","現金","0.00","0.00"
"4/30/2026","其他","2","MICROSOFT CORP TFR FROM TYPE 1","MSFT","融資","0.00","0.00"
"4/30/2026","其他","-1","INVESCO QQQ TR UNIT SER 1 TFR TO TYPE 2","QQQ","現金","0.00","0.00"
"4/30/2026","其他","-1","TESLA INC COMMON STOCK TFR TO TYPE 2","TSLA","現金","0.00","0.00"
"4/30/2026","其他","1","VANGUARD S&P 500 ETF TFR FROM TYPE 1","VOO","融資","0.00","0.00"
"4/30/2026","其他","5","SANDISK CORPORATION COMMON STOCK TFR FROM TYPE 1","SNDK","融資","0.00","0.00"
"4/30/2026","其他","-3","ISHARES SILVER SHARES TFR TO TYPE 2","SLV","現金","0.00","0.00"
"4/30/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 05/01/2026","SNDK","融資","1,100.75","-2,201.50"
"4/30/2026","其他","1","ECHOSTAR CORPORATION TFR FROM TYPE 1","SATS","融資","0.00","0.00"
"4/30/2026","其他","-1","ECHOSTAR CORPORATION TFR TO TYPE 2","SATS","現金","0.00","0.00"
"4/30/2026","其他","1","INVESCO QQQ TR UNIT SER 1 TFR FROM TYPE 1","QQQ","融資","0.00","0.00"
"4/30/2026","賣出","-1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 05/01/2026","LITE","融資","915.70","915.68"
"4/30/2026","其他","1","ADVANCED MICRO DEVICES INC COM TFR FROM TYPE 1","AMD","融資","0.00","0.00"
"4/30/2026","其他","-1","ADVANCED MICRO DEVICES INC COM TFR TO TYPE 2","AMD","現金","0.00","0.00"
"4/30/2026","其他","1","TESLA INC COMMON STOCK TFR FROM TYPE 1","TSLA","融資","0.00","0.00"
"4/29/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/30/2026","SNDK","現金","1,078.71","-1,078.71"
"4/29/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/30/2026","SNDK","現金","1,085.40","-1,085.40"
"4/29/2026","賣出","-2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/30/2026","LITE","現金","865.00","1,729.96"
"4/29/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/30/2026","SNDK","現金","1,085.91","-1,085.91"
"4/29/2026","賣出","-2","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/30/2026","LITE","現金","855.00","1,709.96"
"4/29/2026","賣出","-1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/30/2026","SNDK","現金","1,080.62","1,080.59"
"4/29/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/30/2026","SNDK","現金","1,075.61","-1,075.61"
"4/29/2026","賣出","-1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/30/2026","SNDK","現金","1,095.79","1,095.76"
"4/29/2026","買進","1","ECHOSTAR CORPORATION UNSOLICITED S/D: 04/30/2026","SATS","現金","122.27","-122.27"
"4/29/2026","賣出","-1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/30/2026","SNDK","現金","1,100.39","1,100.36"
"4/29/2026","賣出","-1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/30/2026","SNDK","現金","1,080.13","1,080.10"
"4/29/2026","賣出","-1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/30/2026","LITE","現金","850.01","849.99"
"4/28/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/29/2026","SNDK","現金","1,045.47","-1,045.47"
"4/28/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/29/2026","SNDK","現金","1,025.07","-1,025.07"
"4/28/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/29/2026","SNDK","現金","1,035.72","-1,035.72"
"4/28/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/29/2026","SNDK","現金","1,011.21","-1,011.21"
"4/28/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/29/2026","SNDK","現金","990.57","-990.57"
"4/28/2026","買進","1","ADVANCED MICRO DEVICES INC COM UNSOLICITED S/D: 04/29/2026","AMD","現金","322.70","-322.70"
"4/28/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/29/2026","LITE","現金","785.00","-785.00"
"4/27/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,028.22","-2,056.44"
"4/27/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,030.92","2,061.79"
"4/27/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,025.68","-2,051.36"
"4/27/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,055.46","2,110.87"
"4/27/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,020.35","-2,040.70"
"4/27/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,050.25","2,100.45"
"4/27/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,010.59","-2,021.18"
"4/27/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,035.10","2,070.15"
"4/27/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/28/2026","LITE","現金","840.56","-840.56"
"4/27/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,025.80","2,051.55"
"4/27/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,040.75","-1,040.75"
"4/27/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,035.54","2,071.03"
"4/27/2026","賣出","-1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,059.00","1,058.97"
"4/27/2026","賣出","-1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,063.30","1,063.27"
"4/27/2026","賣出","-1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/28/2026","SNDK","現金","1,070.45","1,070.42"
"4/24/2026","賣出","-3","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/27/2026","LITE","現金","879.45","2,638.29"
"4/23/2026","買進","3","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/24/2026","SNDK","現金","940.50","-2,821.50"
"4/23/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/24/2026","SNDK","現金","935.45","-935.45"
"4/23/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/24/2026","SNDK","現金","935.24","-1,870.48"
"4/22/2026","賣出","-6","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/23/2026","SNDK","現金","945.45","5,672.58"
"4/22/2026","賣出","-2","ADVANCED MICRO DEVICES INC COM UNSOLICITED S/D: 04/23/2026","AMD","現金","298.54","597.06"
"4/15/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/16/2026","LITE","現金","818.00","-818.00"
"4/15/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/16/2026","SNDK","現金","885.00","-885.00"
"4/14/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/15/2026","SNDK","現金","955.00","-955.00"
"4/14/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/15/2026","SNDK","現金","905.00","-905.00"
"4/14/2026","買進","2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/15/2026","SNDK","現金","925.00","-1,850.00"
"4/14/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/15/2026","LITE","現金","845.00","-845.00"
"4/14/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/15/2026","SNDK","現金","920.00","-920.00"
"4/14/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/15/2026","LITE","現金","885.00","-885.00"
"4/14/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/15/2026","SNDK","現金","915.00","-915.00"
"4/14/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/15/2026","SNDK","現金","930.00","1,859.96"
"4/14/2026","賣出","-2","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/15/2026","SNDK","現金","930.00","1,859.96"
"4/13/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/14/2026","SNDK","現金","880.00","-880.00"
"4/13/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/14/2026","LITE","現金","855.00","-855.00"
"4/13/2026","買進","1","AMAZON.COM INC UNSOLICITED S/D: 04/14/2026","AMZN","現金","236.60","-236.60"
"4/13/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/14/2026","SNDK","現金","901.00","-901.00"
"4/13/2026","買進","1","ADVANCED MICRO DEVICES INC COM UNSOLICITED S/D: 04/14/2026","AMD","現金","243.00","-243.00"
"4/13/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/14/2026","LITE","現金","862.00","-862.00"
"4/13/2026","其他","0","REBATE FOR WIRE 2026-04-09","","現金","0.00","25.00"
"4/13/2026","買進","1","ADVANCED MICRO DEVICES INC COM UNSOLICITED S/D: 04/14/2026","AMD","現金","242.50","-242.50"
"4/13/2026","買進","1","AMAZON.COM INC UNSOLICITED S/D: 04/14/2026","AMZN","現金","236.50","-236.50"
"4/13/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/14/2026","SNDK","現金","880.50","-880.50"
"4/13/2026","買進","1","LUMENTUM HOLDINGS INC COM UNSOLICITED S/D: 04/14/2026","LITE","現金","885.00","-885.00"
"4/10/2026","買進","1","MICROSOFT CORP UNSOLICITED S/D: 04/13/2026","MSFT","現金","371.00","-371.00"
"4/9/2026","賣出","-2","NVIDIA CORP UNSOLICITED S/D: 04/10/2026","NVDA","現金","183.00","365.99"
"4/9/2026","賣出","-1","NETFLIX INC COM UNSOLICITED S/D: 04/10/2026","NFLX","現金","100.00","99.99"
"4/9/2026","存款","0","Wire Funds Received FedRef null SEN(20260409052266)","","現金","0.00","12,658.93"
"4/1/2026","股息","0","NVIDIA CORP CASH DIV ON 2 SHS REC 03/11/26 PAY 04/01/26 NON-RES TAX WITHHELD $0.01000","NVDA","現金","0.00","0.02"
"4/1/2026","賣出","-1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 04/02/2026","SNDK","現金","672.00","672.00"
"3/31/2026","股息","0","VANGUARD S&P 500 ETF CASH DIV ON 1 SHS REC 03/27/26 PAY 03/31/26 NON-QUALIFIED DIVIDEND NON-RES TAX WITHHELD $0.56000","VOO","現金","0.00","1.87"
"3/27/2026","股息","0","INVESCO QQQ TR UNIT SER 1 CASH DIV ON 1 SHS REC 03/23/26 PAY 03/27/26 NON-QUALIFIED DIVIDEND NON-RES TAX WITHHELD $0.22000","QQQ","現金","0.00","0.73"
"3/26/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 03/27/2026","SNDK","現金","644.50","-644.50"
"3/25/2026","賣出","-2","ADVANCED MICRO DEVICES INC COM UNSOLICITED S/D: 03/26/2026","AMD","現金","214.00","428.00"
"3/18/2026","買進","1","NETFLIX INC COM UNSOLICITED S/D: 03/19/2026","NFLX","現金","93.70","-93.70"
"3/17/2026","賣出","-1","AMAZON.COM INC UNSOLICITED S/D: 03/18/2026","AMZN","現金","214.00","214.00"
"3/16/2026","股息","0","ALPHABET INC CLASS C CAPITAL STOCK CASH DIV ON 1 SHS REC 03/09/26 PAY 03/16/26 NON-RES TAX WITHHELD $0.06000","GOOG","現金","0.00","0.21"
"3/12/2026","買進","1","AMAZON.COM INC UNSOLICITED S/D: 03/13/2026","AMZN","現金","209.15","-209.15"
"3/12/2026","買進","1","MICROSOFT CORP UNSOLICITED S/D: 03/13/2026","MSFT","現金","402.00","-402.00"
"3/12/2026","買進","1","ADVANCED MICRO DEVICES INC COM UNSOLICITED S/D: 03/13/2026","AMD","現金","201.15","-201.15"
"3/12/2026","買進","1","ADVANCED MICRO DEVICES INC COM UNSOLICITED S/D: 03/13/2026","AMD","現金","197.50","-197.50"
"3/10/2026","賣出","-1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 03/11/2026","SNDK","現金","628.00","628.00"
"3/5/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 03/06/2026","SNDK","現金","582.50","-582.50"
"3/5/2026","賣出","-1","TESLA INC COMMON STOCK UNSOLICITED S/D: 03/06/2026","TSLA","現金","408.00","408.00"
"3/4/2026","賣出","-1","ADVANCED MICRO DEVICES INC COM UNSOLICITED S/D: 03/05/2026","AMD","現金","195.84","195.84"
"3/4/2026","賣出","-1","MICROSOFT CORP UNSOLICITED S/D: 03/05/2026","MSFT","現金","406.30","406.30"
"3/4/2026","買進","1","ISHARES SILVER SHARES UNSOLICITED PRODUCT DESCRIPTION UNDER SEPARATE COVER S/D: 03/05/2026","SLV","現金","75.10","-75.10"
"3/4/2026","賣出","-2","***NOVO NORDISK A/S-ADR EACH CNV INTO 1 CLASS B UNSOLICITED S/D: 03/05/2026","NVO","現金","38.15","76.30"
"3/3/2026","買進","1","ADVANCED MICRO DEVICES INC COM UNSOLICITED S/D: 03/04/2026","AMD","現金","190.50","-190.50"
"3/2/2026","賣出","-1","NETFLIX INC COM UNSOLICITED S/D: 03/03/2026","NFLX","現金","97.60","97.60"
"2/27/2026","買進","1","NVIDIA CORP UNSOLICITED S/D: 03/02/2026","NVDA","現金","178.50","-178.50"
"2/26/2026","買進","1","MICROSOFT CORP UNSOLICITED S/D: 02/27/2026","MSFT","現金","402.00","-402.00"
"2/25/2026","賣出","-1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 02/26/2026","SNDK","現金","660.00","660.00"
"2/24/2026","賣出","-2","NVIDIA CORP UNSOLICITED S/D: 02/25/2026","NVDA","現金","192.00","384.00"
"2/24/2026","買進","1","SANDISK CORPORATION COMMON STOCK UNSOLICITED S/D: 02/25/2026","SNDK","現金","649.735","-649.74"
"1/20/2026","買進","1","NETFLIX INC COM UNSOLICITED S/D: 01/21/2026","NFLX","現金","89.00","-89.00"
"1/14/2026","買進","1","NVIDIA CORP UNSOLICITED S/D: 01/15/2026","NVDA","現金","183.00","-183.00"
"1/12/2026","買進","1","UNITED STS COMMODITY INDEX FDS COM UNIT REPSTG U S COPPER INX FD UNSOLICITED PRODUCT DESCRIPTION UNDER SEPARATE COVER S/D: 01/13/2026","CPER","現金","36.73","-36.73"
"1/12/2026","買進","1","UNITED STS COMMODITY INDEX FDS COM UNIT REPSTG U S COPPER INX FD UNSOLICITED PRODUCT DESCRIPTION UNDER SEPARATE COVER S/D: 01/13/2026","CPER","現金","36.70","-36.70"
"1/12/2026","買進","1","ISHARES SILVER SHARES UNSOLICITED PRODUCT DESCRIPTION UNDER SEPARATE COVER S/D: 01/13/2026","SLV","現金","77.00","-77.00"
